Название,Состав,Цена,Ссылка на товар
Обед ПОНЕДЕЛЬНИК,"Cалат с ветчиной и сыром — 120 гр. | 1,60 руб.
 Щи из свежей капусты- 250 гр. | 2,50 руб.
 Тефтели с соусом — 100 гр. | 3,00 руб.
 Картофель отварной с маслом — 150 гр. | 1,20 руб.
 Хлеб «Фирменный» — 50 гр. | 0.50 руб.
*Комплекс за 6.90 BYN","6,90 BYN",https://sushidom.by/product/obed-ponedelnik/
Ролл РИО,"Нори, рис, сливочный сыр, чукка, тунец","7,50 BYN",https://sushidom.by/product/roll-rio/
Обед ВТОРНИК,"Салат с капустой — 120 гр. | 1,20 руб.
 Суп грибной с перловкой — 250 гр. | 2,35 руб.
 Поджарка — 100 гр. | 3,35 руб.
 Макароны с маслом — 150 гр. | 1,20 руб.
 Хлеб «Фирменный» — 50 гр. | 0.50 руб.
 
*Комплекс за 6.90 BYN","6,90 BYN",https://sushidom.by/product/obed-vtornik/
Ролл ТЭКА МАКИ,"Нори, рис, тунец","5,90 BYN",https://sushidom.by/product/roll-tjeka-maki/
Обед СРЕДА,"Цезарь с курицей — 120 гр. | 1,50 руб.
 Суп сырный- 250 гр. | 2,80 руб.
 Мясные  гнезда — 100 гр. | 2,80 руб.
 Гречневая каша — 150 гр. | 1,20 руб.
 Хлеб «Фирменный» — 50 гр. | 0.50 руб.
 
*Комплекс за 6.90 BYN","6,90 BYN",https://sushidom.by/product/obed-sreda/
Ролл УНАГИ МАКИ,"Нори, рис, угорь, огурец, кунжут","6,90 BYN",https://sushidom.by/product/roll-unagi-maki/
Обед ЧЕТВЕРГ,"Салат «Северный» — 120 гр. | 1,90 руб.
 Суп «Харчо» — 250 гр. | 2,30 руб.
 Биточки с сыром- 100 гр. | 2.60 руб.
 Картофельные дольки — 150 гр. | 1.20 руб.
 Хлеб «Фирменный» — 50 гр. | 0.50 руб.
 
*Комплекс за 6.90 BYN","6,90 BYN",https://sushidom.by/product/obed-chetverg/
Обед ПЯТНИЦА,"Салат из белокочанной капусты — 120 гр. | 1.10 руб.
 Суп-лапша с грибами — 250 гр. | 2.40 руб.
 Плов с птицей — 300 гр. | 4.80 руб.
 Хлеб «Фирменный» — 50 гр. | 0.50 руб.
 
*Комплекс за 6.90 BYN","6,90 BYN",https://sushidom.by/product/obed-pjatnica/
ОРЕХОВЫЙ,Нет состава,"1,90 BYN",https://sushidom.by/product/orehovyj/
Паста,Нет состава,Всё зависит от количества,https://sushidom.by/product/pasta/
Пицца СОЧНЫЙ ГРИЛЬ,"Состав: бекон, сервелат, куриный рулет, ветчина, перец, томаты, моцарелла, соус гриль",Всё зависит от количества,https://sushidom.by/product/picca-sochnyj-gril/
Пицца ПЕППЕРОНИ,"Состав: томатный соус, моцарелла, голландский сыр, орегано, колбаски-пепперони, острые перчики, сметана.",Всё зависит от количества,https://sushidom.by/product/picca-pepperoni/
Пицца ФИЛИППИНСКАЯ,"Состав: соус сырный, сыр моцарелла, томаты, свинина по-американски (горячего копчения), ананас, куриный рулет, бекон, орегано",Всё зависит от количества,https://sushidom.by/product/picca-filippinskaja/
Пицца ТЕХАССКАЯ,"Состав: соус карбонара, свинина по-американски(горячего копчения), бекон, сыр моцарелла, колбаски пепперони, орегано",Всё зависит от количества,https://sushidom.by/product/picca-tehasskaja/
Пицца ИМПЕРАТОРСКАЯ,"Состав: томатный соус, смесь сыров, томаты, руккола, сыр рикотта, соус барбекю, пепперони, орегано.",Всё зависит от количества,https://sushidom.by/product/picca-imperatorskaja/
Пицца ОЛИВЬЕ,"Состав: томатный соус, моцарелла, голландский сыр, копченая курица, соус тартар, орегано.",Всё зависит от количества,https://sushidom.by/product/picca-olive/
Пицца ИТАЛЬЯНСКАЯ,"Состав: соус барбекю, смесь сыров, пепперони, шампиньоны, бекон, оливки, орегано",Всё зависит от количества,https://sushidom.by/product/picca-italjanskaja/
Пицца ДОМАШНЯЯ,"Состав: соус томатный, смесь сыров, бекон, лук маринованный, томаты, ветчина, огурцы маринованные, орегано",Всё зависит от количества,https://sushidom.by/product/picca-domashnjaja/
Пицца ФИЛАДЕЛЬФИЯ,"Состав: соус тартар, смесь сыров, лосось, сыр Филадельфия, лимон, орегано.",Всё зависит от количества,https://sushidom.by/product/picca-filadelfija/
Пицца С ГРУШЕЙ И ДОР БЛЮ,"Состав: моцарелла, голландский сыр, орегано, сыр дор блю, груша, грецкий орех",Всё зависит от количества,https://sushidom.by/product/picca-s-grushej-i-dor-blju/
Пицца МЕКСИКАНСКАЯ,"Состав: томатный соус, моцарелла, голландский сыр, орегано, томаты, лук, болгарский перец, салями, халапеньо, перец чили",Всё зависит от количества,https://sushidom.by/product/picca-meksikanskaja/
Пицца МНОГО МЯСА,"Состав: томатный соус, моцарелла, голландский сыр, орегано, шампиньоны, лук, болгарский перец, маслины, пепперони, ветчина, свинина",Всё зависит от количества,https://sushidom.by/product/picca-mnogo-mjasa/
Пицца ВЕГЕТАРИАНСКАЯ,"Состав: томатный соус, шампиньоны, моцарелла, голландский сыр, орегано, лук, болгарский перец, маслины",Всё зависит от количества,https://sushidom.by/product/picca-vegetarianskaja/
Пицца ТОННО,"Состав: томатный соус, моцарелла, голландский сыр, тунец, красный лук, оливки, орегано",Всё зависит от количества,https://sushidom.by/product/picca-tonno/
Пицца ОТ ШЕФА,"Состав: томатный соус, моцарелла, голландский сыр, ветчина, шампиньоны, орегано, оливки",Всё зависит от количества,https://sushidom.by/product/picca-ot-shefa/
Пицца 4 СЫРА,"Состав: томатный соус, моцарелла, голландский сыр, сыр дор блю, рикотта, орегано, оливки",Всё зависит от количества,https://sushidom.by/product/picca-4-syra/
Пицца ХОРВАТСКИЙ ОМЛЕТ,"Состав: томатный соус, моцарелла, голландский сыр, копченая курица, ветчина, свинина, болгарский перец, яйцо, орегано",Всё зависит от количества,https://sushidom.by/product/picca-horvatskij-omlet/
Пицца КАРБОНАРА,"Состав: соус сливочный, смесь сыров, бекон, ветчина, томаты черри, лук, пармезан.",Всё зависит от количества,https://sushidom.by/product/picca-karbonara/
Пицца ФИРМЕННАЯ,"Состав: соус томатный, моцарелла, голландский сыр, орегано, свинина, руккола, томаты черри",Всё зависит от количества,https://sushidom.by/product/picca-firmennaja/
Пицца МАРГАРИТА,"Состав: томатный соус, моцарелла, голландский сыр, орегано, томаты",Всё зависит от количества,https://sushidom.by/product/picca-margarita/
